alert_id,source_system,device_name,device_identifier,organization_name,network_name,alert_type,severity,alert_message,occurred_at,ingestion_time,alert_category,alert_hour,alert_day,severity_score,device_alert_count
MTA4MzgxOTEyOTIzODk1MDY1MywxMzA0MzQ1NzYxNzYxNDk3ODYz,Auvik,DMG-SLO-AP02,MTA4MzgxOTEyOTIzODk1MDY1MywxMDkzNzg0NDM2MzE1Njg5NTI1,Ambient Enterprises DMG San Luis Obispo,,Access Point Offline,Warning,This network element has gone offline   Ubiquiti U6+,2025-11-25 14:44:06.117000,2026-03-14 14:28:23.482325,Device Down,14,2025-11-25,2.0,19
MTE2NzQyMDIwMzUzMTg2Njg3NywxMzA3NjY4MjcxMzU1ODkxOTQ2,Auvik,GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,MTE2NzQyMDIwMzUzMTg2Njg3NywxMTg1MTI3NjkwNTA2OTMzMTkx,DYOPATH Oakbrook Terrace,,Interface Status Mismatch,Warning,Interface GigabitEthernet1/0/3 (Connection to Lab-Depot ASAx Outside Gi1/1) on dyoOBTextsw01.dyopath.com is administratively Up and has gone Down. It's connected to wan1 on dyo-sch-fw01a.,2025-11-25 14:52:29.787000,2026-03-14 14:28:23.482325,Other,14,2025-11-25,2.0,2
MTA4MzgxOTEyOTIzODk1MDY1MywxMzA0MzQ1NzYxNzYyNjc3NTEx,Auvik,DMG-SLO-AP02,MTA4MzgxOTEyOTIzODk1MDY1MywxMDkzNzg0NDM2MzE1Njg5NTI1,Ambient Enterprises DMG San Luis Obispo,,Access Point Offline,Warning,Device Online Status is now equal to Online,2025-11-25 14:54:05.596000,2026-03-14 14:28:23.482325,Device Down,14,2025-11-25,2.0,19
MTA4MzgxOTEyOTIzODk1MDY1MywxMzA0MzQ1NzYxNzYyNjQ0NzQz,Auvik,DMG-SLO-AP01,MTA4MzgxOTEyOTIzODk1MDY1MywxMDkzNzg0NDM2MjUzNTYxMzk3,Ambient Enterprises DMG San Luis Obispo,,Access Point Offline,Warning,This network element has gone offline   Ubiquiti U6+,2025-11-25 14:54:05.596000,2026-03-14 14:28:23.482325,Device Down,14,2025-11-25,2.0,30
MTEzOTQ0OTI3MTk4NzI3ODU4OSwxMzA0MzQ1NzY5NzEzNDcxNzY3,Auvik,asa5515x-01.kslinc.net,MTEzOTQ0OTI3MTk4NzI3ODU4OSwxMzA0MzQ1NzcxMzY2NzgxMjA3,HVP SLHV Data Center,,VPN remote gateway is Lost,Critical,"The VPN remote gateway 12.207.114.41 has been lost

Begin Crisis Management
Warm Hand-off to IS - Networking team",2025-11-25 14:54:46.402000,2026-03-14 14:28:23.482325,Network Issue,14,2025-11-25,3.0,60
NzQ4NzkzMDQ3NDMyNzk0ODc3LDEzMDQzNDU3NjI2MDkxNDA0NjE,Auvik,HAN-AZURE-ASAV,NzQ4NzkzMDQ3NDMyNzk0ODc3LDEyOTQxODQ1NDU0NTAwMDUxNTA,Hanover Company Azure,,VPN remote gateway is Lost,Critical,"The VPN remote gateway 12.207.114.35 has been lost

NOTE 20220812 - If the lost VPN gateway IP is 71.26.198.53 or 71.26.196.61, Bruce Fay has confirmed these sites will be shut down nightly for the next month at a minimum. Please auto-close lost gateway tickerts from these locations until further notice.
Begin Crisis Management
Warm Hand-off to IS - Networking team",2025-11-25 14:54:48.292000,2026-03-14 14:28:23.482325,Network Issue,14,2025-11-25,3.0,43
ODYwNDE2MjgzNzY5NTQxMzczLDEzMDQzNDU3Nzc5ODE1NTkwODU,Auvik,asav-02.dyopathcorp.com,ODYwNDE2MjgzNzY5NTQxMzczLDEyNzcyNzE2NzI2NjUxMTY3MzI,DYOPATH Azure Central,,VPN remote gateway is Lost,Critical,"The VPN remote gateway 12.207.114.35 has been lost

Begin Crisis Management
Warm Hand-off to IS - Networking team",2025-11-25 14:55:14.347000,2026-03-14 14:28:23.482325,Network Issue,14,2025-11-25,3.0,55
MTE2NzQyMDIwMzUzMTg2Njg3NywxMzA3NjY4MjcxMzU2MDIzMDE4,Auvik,GigabitEthernet1/0/3 on dyoOBTextsw01.dyopath.com,MTE2NzQyMDIwMzUzMTg2Njg3NywxMTg1MTI3NjkwNTA2OTMzMTkx,DYOPATH Oakbrook Terrace,,Interface Status Mismatch,Warning,The operational status for interface GigabitEthernet1/0/3 (Connection to Lab-Depot ASAx Outside Gi1/1) on dyoOBTextsw01.dyopath.com is now Up and its administrative status is now Up. It's connected to wan1 on dyo-sch-fw01a.,2025-11-25 14:55:30.805000,2026-03-14 14:28:23.482325,Other,14,2025-11-25,2.0,2
MTE3NTAxNjAyNzA5MzE3NzA4NSwxMzA0MzQ1Nzc3OTgxNjI0NjIx,Auvik,Adaptive Security Appliance 'outside' interface on dpOBTfw01.dyopathcorp.com,MTE3NTAxNjAyNzA5MzE3NzA4NSwtMjAwMDAwMA,DYOPATH Oakbrook Terrace Lab/Depot,,Internet Connection is Lost,Unknown,"The internet connection for this default gateway (12.207.114.35) has been lost

VPN/Direct connect to device in question
Validate interface status
Contact carrier and verify circuit status, if no LOA/support information, contact POC
If status is good, Initiate Crisis management, warm handoff to IS - Networking",2025-11-25 14:55:39.089000,2026-03-14 14:28:23.482325,Other,14,2025-11-25,,22
MTE3NTAxNjAyNzA5MzE3NzA4NSwxMzA0MzQ1Nzc3OTgxNzg4NDYx,Auvik,dpOBTlabsw01.dyopath.com Member 2,MTE3NTAxNjAyNzA5MzE3NzA4NSwxMjU2MTQyMDk0MzczNzIwMjkw,DYOPATH Oakbrook Terrace Lab/Depot,,Network Element Offline,Unknown,"This network element has gone offline   Cisco WS-C2960XR-48FPD-I

SD Tasks
VPN into client/Log into Meraki portal depending on device
Connect to nearest connected device (IE, if it's a server out, connect to connected switch to validate interface status)
If it's up: problem with Auvik: Open support ticket with Auvik via Support option in lower right
If down, verify ISP is showing site as up. 
If ISP shows down, begin crisis management, Validate power on device with client
If power is good, warm handoff to IS - Networking team
If you cannot contact the client, hold off on warm handoff until Power can be verified.",2025-11-25 14:56:10.534000,2026-03-14 14:28:23.482325,Device Down,14,2025-11-25,,8
